id,jenis_makanan,nama_makanan,kalori,protein,lemak,karbohidrat,source
330,dish,sale pisang cilacap,295.0,2.3,2.1,66.9,tkpi
331,komponen,sawo duren segar,64.0,1.0,3.1,8.0,tkpi
332,komponen,sawo kecik segar,111.0,0.9,2.3,21.6,tkpi
333,dish,serimping talas kebumen,478.0,2.5,21.2,69.2,tkpi
334,komponen,srikaya segar,63.0,1.1,0.5,13.9,tkpi
335,komponen,sukun muda segar,119.0,1.4,0.2,28.1,tkpi
336,komponen,sukun tua segar,126.0,1.6,0.2,24.5,tkpi
337,dish,suweg talas kukus,93.0,1.5,0.1,21.9,tkpi
338,komponen,suweg talas segar,74.0,1.4,0.1,17.2,tkpi
339,dish,suwirsuwir,347.0,0.5,0.9,84.2,tkpi
340,dish,tahu goreng,115.0,9.7,8.5,2.5,tkpi
341,dish,tahu mentah,80.0,10.9,4.7,0.8,tkpi
342,dish,takwa,148.0,13.8,8.5,4.0,tkpi
343,dish,talas bogor kukus,120.0,1.5,0.3,28.2,tkpi
344,komponen,talas bogor segar,108.0,1.4,0.4,25.0,tkpi
345,komponen,talas pontianak segar,163.0,2.3,0.5,36.4,tkpi
346,dish,tapai ketan hitam,166.0,3.8,1.0,34.4,tkpi
347,dish,tapai ketan putih,172.0,3.0,0.5,37.5,tkpi
348,dish,tapai singkong,169.0,1.4,0.3,40.2,tkpi
349,komponen,tauco,184.0,11.4,5.5,22.2,tkpi
350,komponen,tauco cap beruang cake,347.0,7.4,5.2,67.6,tkpi
351,komponen,tauco cap das cake,358.0,7.5,4.3,70.4,tkpi
352,komponen,tauco cap meong,159.0,7.4,4.9,21.3,tkpi
353,dish,tauji cap singa,277.0,9.1,4.7,49.6,tkpi
354,dish,tempe gembus p3g,73.0,5.7,1.3,10.3,tkpi
355,dish,tempe gembus yogya,76.0,6.8,0.7,10.6,tkpi
356,dish,tempe kacang babi,139.0,12.5,0.8,21.9,tkpi
357,dish,tempe kecipir kacang belimbing,212.0,17.5,10.0,12.9,tkpi
358,dish,tempe kedelai jagung,143.0,12.0,5.5,11.4,tkpi
359,dish,tempe kedelai murni goreng,350.0,24.5,26.6,10.4,tkpi
360,dish,tempe kedelai murni mentah,201.0,20.8,8.8,13.5,tkpi
361,dish,tempe lamtoro,128.0,10.7,0.5,21.3,tkpi
362,dish,tempe lamtoro var gung dengan kulit,146.0,11.7,2.3,19.6,tkpi
363,dish,tempe lamtoro var gung tanpa kulit,131.0,18.0,0.8,13.0,tkpi
364,dish,tempe pasar,150.0,14.0,7.7,9.1,tkpi
365,dish,tempe pasar goreng,336.0,20.0,28.0,7.8,tkpi
366,komponen,tepung terigu,333.0,9.0,1.0,77.2,tkpi
367,komponen,terasi,155.0,22.3,2.9,9.9,tkpi
