id,jenis_makanan,nama_makanan,kalori,protein,lemak,karbohidrat,source,protein_per_calorie,fat_per_calorie,carb_per_calorie,protein_fat_ratio,macro_balance_score
125,komponen,tomat merah segar,24.0,1.3,0.5,4.7,tkpi,0.054166664409722315,0.020833332465277812,0.19583332517361146,2.5999948000104,0.7198666608462019
126,komponen,tumis bayam bersantan,48.0,1.4,4.2,2.6,tkpi,0.02916666605902779,0.08749999817708339,0.05416666553819447,0.3333332539682728,0.860124792405811
127,komponen,uceng bunga melinjo segar,82.0,5.8,1.3,11.7,tkpi,0.07073170645449138,0.01585365834324807,0.1426829250892326,4.461535029588439,0.7734794628631182
128,dish,wortel kukus,37.0,1.0,0.6,8.3,tkpi,0.027027026296566857,0.016216215777940114,0.22432431826150495,1.6666638888935186,0.6424946330388213
129,dish,wortel rebus,28.0,0.7,0.5,6.3,tkpi,0.024999999107142887,0.017857142219387778,0.224999991964286,1.3999972000055998,0.6415671972683387
130,komponen,wortel segar,36.0,1.0,0.6,7.9,tkpi,0.027777777006172864,0.016666666203703717,0.21944443834876562,1.6666638888935186,0.6472680600179034
131,dish,kacang merah kering rebus,158.0,10.3,0.9,28.2,tkpi,0.0651898730051274,0.0056962024955936556,0.17848101152860119,11.44443172840919,0.7125934127862819
132,dish,kacang merah segar rebus,144.0,10.0,1.0,24.7,tkpi,0.06944444396219136,0.006944444396219137,0.17152777658661267,9.999990000010001,0.7263776994621689
133,komponen,kacang merah tua kering,280.0,16.7,1.6,63.2,tkpi,0.05964285692984694,0.005714285693877551,0.22571428490816328,10.437493476566576,0.6783491755849442
134,komponen,kacang merah kering,314.0,22.1,1.1,56.2,tkpi,0.07038216538094852,0.0035031847022191573,0.1789808911497424,20.090890826462886,0.7140376817573566
135,komponen,kacang merah segar,171.0,11.0,2.2,28.0,tkpi,0.06432748500393284,0.012865497000786569,0.16374268910091994,4.99999772727376,0.740080890534782
136,komponen,kacang tanah sangan,560.0,29.5,43.0,24.1,tkpi,0.05267857133450255,0.07678571414859695,0.043035714208864796,0.6860464956733373,0.917716513667753
137,dish,kacang tanah goreng,564.0,25.5,44.4,25.5,tkpi,0.04521276587728233,0.07872340411573864,0.04521276587728233,0.5743243113890921,0.9066085383338522
138,komponen,kacang tanah kering,525.0,27.9,42.7,17.4,tkpi,0.05314285704163265,0.08133333317841271,0.03314285707972789,0.6533957692413168,0.8820648942665035
139,dish,kacang tanah rebus,220.0,10.6,18.0,8.0,tkpi,0.04818181796280992,0.08181818144628099,0.03636363619834711,0.5888888561728413,0.8842527150067959
140,komponen,kacang tolo tunggak kering,331.0,24.4,1.9,56.6,tkpi,0.07371601186188516,0.005740181251540238,0.17099697833535657,12.842098504158683,0.7292169478504005
141,dish,kacang tolo tunggak rebus,138.0,10.7,1.1,22.6,tkpi,0.07753623132220122,0.00797101443499265,0.16376811475530353,9.72726388430556,0.7443586147011181
142,komponen,kacang uci kering,358.0,23.4,2.4,60.6,tkpi,0.06536312830904153,0.006703910595799132,0.1692737425439281,9.749995937501692,0.7214709234172174
143,komponen,ampas kacang hijau,96.0,3.7,0.6,19.1,tkpi,0.03854166626519098,0.006249999934895834,0.19895833126085075,6.166656388906019,0.6542772900520348
144,komponen,ampas tahu kukus,75.0,4.1,2.1,10.7,tkpi,0.05466666593777778,0.027999999626666675,0.14266666476444448,1.9523800226761794,0.7825717746821196
145,komponen,ampas tahu mentah,67.0,5.0,2.1,8.1,tkpi,0.074626864557808,0.031343283114279356,0.12089552058364894,2.3809512471660725,0.8388195190788337
146,komponen,anggur hutan segar,30.0,0.5,0.2,6.8,tkpi,0.016666666111111127,0.006666666444444452,0.22666665911111136,2.4999875000624994,0.594263358541255
147,komponen,apel malang segar,57.0,0.5,0.4,12.8,tkpi,0.008771929670667901,0.007017543736534321,0.22456139956909826,1.2499968750078125,0.5750373015303526
148,komponen,arrowroot segar,102.0,1.0,0.2,24.1,tkpi,0.009803921472510574,0.001960784294502115,0.23627450748750484,4.999975000124999,0.561943891819644
149,komponen,asam arang coklat segar,130.0,0.5,1.1,30.9,tkpi,0.0038461538165680477,0.008461538396449706,0.23769230586390533,0.4545450413226897,0.5633418402743815
150,komponen,asam arang merah segar,99.0,0.8,1.6,20.3,tkpi,0.008080807999183759,0.016161615998367518,0.20505050297928787,0.49999968750019536,0.603094810240324
151,komponen,asam kandis kering,261.0,0.9,1.6,63.3,tkpi,0.003448275848857181,0.0061302681757460994,0.24252873470295502,0.5624996484377197,0.5554400233719858
152,komponen,asam kandis segar,75.0,0.2,1.1,16.1,tkpi,0.002666666631111112,0.014666666471111115,0.21466666380444452,0.1818180165290759,0.5808929964711602
153,komponen,asam payak segar,135.0,0.8,0.4,32.1,tkpi,0.005925925882030179,0.0029629629410150896,0.23777777601646094,1.9999950000125002,0.5540498411067785
154,dish,ayam goreng church texas dada,338.0,35.2,20.6,0.4,tkpi,0.10414201152620707,0.06094674538181437,0.001183431949161444,1.708737781129234,0.7461170068675502
155,dish,ayam goreng church texas sayap,295.0,34.0,16.0,1.5,tkpi,0.11525423689744327,0.05423728795173801,0.005084745745475438,2.1249998671875083,0.7418700763416275
156,dish,ayam goreng churchtexas paha,287.0,31.0,15.7,1.7,tkpi,0.10801393690587478,0.05470383256200755,0.005923344927096359,1.9745221672278876,0.7527768835092812
157,dish,ayam goreng kalasan paha,275.0,37.4,12.2,1.3,tkpi,0.13599999950545455,0.044363636202314045,0.004727272710082645,3.0655735192152855,0.7029808556793293
158,dish,ayam goreng kentucky dada,298.0,34.2,16.8,0.1,tkpi,0.11476510028602316,0.05637583873699383,0.00033557046867258234,2.0357141645408237,0.7275490334398991
159,dish,ayam goreng kentucky paha,286.0,32.1,16.1,1.1,tkpi,0.11223776184532251,0.05629370609687516,0.003846153832705756,1.993788696037969,0.7432476329134885
160,dish,ayam goreng kentuckysayap,297.0,35.9,15.2,1.6,tkpi,0.12087542046843293,0.051178451006133156,0.005387205369066649,2.3618419498788192,0.7323992250633689
161,dish,ayam goreng mbok berek dada,295.0,39.2,13.6,1.0,tkpi,0.13288135548175814,0.0461016947589773,0.0033898304969836256,2.8823527292387703,0.7045863376698109
162,dish,bagea kw 1,416.0,6.5,9.4,76.3,tkpi,0.015624999962439904,0.02259615379183617,0.1834134610975638,0.6914892881394374,0.6503010539863763
163,dish,bagea kw 2,382.0,0.3,3.5,87.2,tkpi,0.000785340312080261,0.009162303640936379,0.2282722507113292,0.08571426122449678,0.5578898734107162
164,dish,bakpia kue,272.0,8.7,6.7,44.1,tkpi,0.031985294000054065,0.02463235285061635,0.16213235234510165,1.2985072688795118,0.7112850490166376
165,dish,bakwan,280.0,8.2,10.2,39.0,tkpi,0.029285714181122448,0.03642857129846939,0.13928571378826532,0.8039214898116187,0.7548508165707568
166,komponen,bekicot dendeng mentah,441.0,48.7,20.3,15.8,tkpi,0.11043083875185751,0.046031745927365655,0.0358276643178511,2.399014660147061,0.8282444100050491
167,dish,belitung talas kukus,145.0,1.2,0.4,34.2,tkpi,0.008275862011890607,0.0027586206706302027,0.23586206733888232,2.9999925000187497,0.5601034087151051
168,komponen,belitung talas segar,145.0,1.2,0.4,34.2,tkpi,0.008275862011890607,0.0027586206706302027,0.23586206733888232,2.9999925000187497,0.5601034087151051
169,dish,belut goreng,417.0,25.9,19.4,32.0,tkpi,0.06211031160165393,0.046522781663014906,0.0767386089286844,1.335051477574666,0.9334438239994957
170,komponen,belutlaut segar,93.0,12.8,1.5,6.1,tkpi,0.1376344071222107,0.016129032084634065,0.06559139714417853,8.533327644448239,0.7725645148392826
